value,country_code,year,month,feature_id
5.9,GTM,2020,5,7
15.2,GUY,2020,5,7
0.5,HKG,2020,5,7
21.1,HND,2020,5,7
25.2,HRV,2020,5,7
3.0,HTI,2020,5,7
54.6,HUN,2020,5,7
5.8,IDN,2020,5,7
3.9,IND,2020,5,7
331.5,IRL,2020,5,7
91.7,IRN,2020,5,7
5.0,IRQ,2020,5,7
29.1,ISL,2020,5,7
32.7,ISR,2020,5,7
553.5,ITA,2020,5,7
3.0,JAM,2020,5,7
0.9,JOR,2020,5,7
7.1,JPN,2020,5,7
2.2,KAZ,2020,5,7
1.2,KEN,2020,5,7
2.4,KGZ,2020,5,7
,KHM,2020,5,7
,KNA,2020,5,7
5.3,KOR,2020,5,7
49.0,KWT,2020,5,7
,LAO,2020,5,7
4.0,LBN,2020,5,7
5.2,LBR,2020,5,7
0.7,LBY,2020,5,7
,LCA,2020,5,7
26.1,LIE,2020,5,7
0.5,LKA,2020,5,7
,LSO,2020,5,7
20.1,LTU,2020,5,7
173.3,LUX,2020,5,7
12.9,LVA,2020,5,7
5.5,MAR,2020,5,7
101.2,MCO,2020,5,7
73.3,MDA,2020,5,7
0.2,MDG,2020,5,7
9.2,MDV,2020,5,7
76.2,MEX,2020,5,7
63.9,MKD,2020,5,7
3.7,MLI,2020,5,7
17.5,MLT,2020,5,7
0.1,MMR,2020,5,7
14.3,MNE,2020,5,7
,MNG,2020,5,7
0.1,MOZ,2020,5,7
4.8,MRT,2020,5,7
7.9,MUS,2020,5,7
0.2,MWI,2020,5,7
3.5,MYS,2020,5,7
,NAM,2020,5,7
2.5,NER,2020,5,7
1.4,NGA,2020,5,7
5.2,NIC,2020,5,7
347.9,NLD,2020,5,7
43.2,NOR,2020,5,7
0.3,NPL,2020,5,7
4.5,NZL,2020,5,7
9.4,OMN,2020,5,7
3.1,OWID_AFR,2020,5,7
6.6,OWID_ASI,2020,5,7
282.6,OWID_EUN,2020,5,7
230.4,OWID_EUR,2020,5,7
,OWID_INT,2020,5,7
16.9,OWID_KOS,2020,5,7
212.7,OWID_NAM,2020,5,7
2.9,OWID_OCE,2020,5,7
129.6,OWID_SAM,2020,5,7
49.6,OWID_WRL,2020,5,7
6.9,PAK,2020,5,7
76.7,PAN,2020,5,7
620.8,PER,2020,5,7
8.6,PHL,2020,5,7
,PNG,2020,5,7
28.2,POL,2020,5,7
138.7,PRT,2020,5,7
